state,year,value,var,industry_group
base,2041,83.1422,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2042,85.0875,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2043,87.0499,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2044,89.0289,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2045,91.0241,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2046,93.0352,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2047,95.0618,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2048,97.1042,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2049,99.1625,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2050,101.2368,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2051,103.3276,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2031,18.106,Non-metallic ore mining,Sector 2 - Mining (B)
base,2032,18.4337,Non-metallic ore mining,Sector 2 - Mining (B)
base,2033,18.7612,Non-metallic ore mining,Sector 2 - Mining (B)
base,2034,19.0888,Non-metallic ore mining,Sector 2 - Mining (B)
base,2035,19.4167,Non-metallic ore mining,Sector 2 - Mining (B)
base,2036,19.7454,Non-metallic ore mining,Sector 2 - Mining (B)
base,2037,20.0751,Non-metallic ore mining,Sector 2 - Mining (B)
base,2038,20.4064,Non-metallic ore mining,Sector 2 - Mining (B)
base,2039,20.7396,Non-metallic ore mining,Sector 2 - Mining (B)
base,2040,21.0748,Non-metallic ore mining,Sector 2 - Mining (B)
base,2041,21.412,Non-metallic ore mining,Sector 2 - Mining (B)
base,2042,21.7513,Non-metallic ore mining,Sector 2 - Mining (B)
base,2043,22.0929,Non-metallic ore mining,Sector 2 - Mining (B)
base,2044,22.4367,Non-metallic ore mining,Sector 2 - Mining (B)
base,2045,22.783,Non-metallic ore mining,Sector 2 - Mining (B)
base,2046,23.1318,Non-metallic ore mining,Sector 2 - Mining (B)
base,2047,23.4833,Non-metallic ore mining,Sector 2 - Mining (B)
base,2048,23.8376,Non-metallic ore mining,Sector 2 - Mining (B)
