var_code,var,year,sa4_code_2016,sa4_name_2016,base,zero,state2023,diff
32 HumeVic,Hume,2030,204,Hume,100.2597,103.349,87.5656,15.7834
33 LatGiplndVic,Latrobe - Gippsland,2030,205,Latrobe - Gippsland,150.109,139.7262,133.433,6.293200000000013
34 MlbInnerVic,Melbourne - Inner,2030,206,Melbourne - Inner,521.7795,525.9329,447.1767,78.75620000000004
35 MlbInnerEVic,Melbourne - Inner East,2030,207,Melbourne - Inner East,246.1182,249.1094,211.7814,37.328
36 MlbInnerSVic,Melbourne - Inner South,2030,208,Melbourne - Inner South,285.5674,288.6485,245.4029,43.245600000000024
37 MlbNEVic,Melbourne - North East,2030,209,Melbourne - North East,318.4579,320.724,279.0281,41.695899999999995
38 MlbNWstVic,Melbourne - North West,2030,210,Melbourne - North West,216.2237,215.2662,190.6266,24.6396
39 MlbOuterEVic,Melbourne - Outer East,2030,211,Melbourne - Outer East,325.9071,328.431,280.6087,47.822299999999984
40 MlbSEVic,Melbourne - South East,2030,212,Melbourne - South East,437.3944,440.0002,377.7262,62.274
41 MlbWestVic,Melbourne - West,2030,213,Melbourne - West,452.3431,447.9966,397.9153,50.0813
42 MrngtnPenVic,Mornington Peninsula,2030,214,Mornington Peninsula,164.2005,169.6138,141.3935,28.22030000000001
43 NorthWestVic,North West,2030,215,North West,80.5894,83.0778,70.6389,12.43889999999999
44 Sheppart4Vic,Shepparton,2030,216,Shepparton,69.7464,70.6974,61.1105,9.5869
45 WarrnmSWVic,Warrnambool and South West,2030,217,Warrnambool and South West,83.9979,85.7699,73.2803,12.48960000000001
46 BrisEastQld,Brisbane - East,2030,301,Brisbane - East,146.5303,144.2158,131.1453,13.07050000000001
47 BrisNorthQld,Brisbane - North,2030,302,Brisbane - North,145.1906,144.1678,131.6884,12.479399999999998
48 BrisSouthQld,Brisbane - South,2030,303,Brisbane - South,231.21,230.112,207.9244,22.187600000000003
