occupation_name,occupation_group
O399 Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O411 Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O421 Child Carers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O422 Education Aides,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O423 Personal Carers and Assistants,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O423 Personal Carers and Assistants,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O423 Personal Carers and Assistants,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O423 Personal Carers and Assistants,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
"O441 Defence Force Members, Fire Fighters and Police",O4 COMMUNITY AND PERSONAL SERVICE WORKERS
"O441 Defence Force Members, Fire Fighters and Police",O4 COMMUNITY AND PERSONAL SERVICE WORKERS
"O441 Defence Force Members, Fire Fighters and Police",O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O442 Prison and Security Officers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O442 Prison and Security Officers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O452 Sports and Fitness Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O452 Sports and Fitness Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O452 Sports and Fitness Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O452 Sports and Fitness Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
"O511 Contract, Program and Project Administrators",O5 CLERICAL AND ADMINISTRATIVE WORKERS
O512 Office and Practice Managers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O512 Office and Practice Managers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O521 Personal Assistants and Secretaries,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O521 Personal Assistants and Secretaries,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O531 General Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O532 Keyboard Operators,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O541 Call or Contact Centre Information Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O541 Call or Contact Centre Information Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O542 Receptionists,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O551 Accounting Clerks and Bookkeepers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O551 Accounting Clerks and Bookkeepers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O551 Accounting Clerks and Bookkeepers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O552 Financial and Insurance Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O552 Financial and Insurance Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O552 Financial and Insurance Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O561 Clerical and Office Support Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O591 Logistics Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O591 Logistics Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O611 Insurance Agents and Sales Representatives,O6 SALES WORKERS
O611 Insurance Agents and Sales Representatives,O6 SALES WORKERS
O611 Insurance Agents and Sales Representatives,O6 SALES WORKERS
O612 Real Estate Sales Agents,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O6 SALES WORKERS
O631 Checkout Operators and Office Cashiers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O6 SALES WORKERS
O711 Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O712 Stationary Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O712 Stationary Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O712 Stationary Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O712 Stationary Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O721 Mobile Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O721 Mobile Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O721 Mobile Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O721 Mobile Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
"O731 Automobile, Bus and Rail Drivers",O7 MACHINERY OPERATORS AND DRIVERS
"O731 Automobile, Bus and Rail Drivers",O7 MACHINERY OPERATORS AND DRIVERS
"O731 Automobile, Bus and Rail Drivers",O7 MACHINERY OPERATORS AND DRIVERS
O732 Delivery Drivers,O7 MACHINERY OPERATORS AND DRIVERS
O733 Truck Drivers,O7 MACHINERY OPERATORS AND DRIVERS
O741 Storepersons,O7 MACHINERY OPERATORS AND DRIVERS
O811 Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O8 LABOURERS
O821 Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O8 LABOURERS
O831 Food Process Workers,O8 LABOURERS
O831 Food Process Workers,O8 LABOURERS
O831 Food Process Workers,O8 LABOURERS
O831 Food Process Workers,O8 LABOURERS
O832 Packers and Product Assemblers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O8 LABOURERS
