occupation_full,occupation_code,occupation_name,occupation_group
"O361 Animal Attendants and Trainers, and Shearers",O361,"Animal Attendants and Trainers, and Shearers",O3 TECHNICIANS AND TRADES WORKERS
"O361 Animal Attendants and Trainers, and Shearers",O361,"Animal Attendants and Trainers, and Shearers",O3 TECHNICIANS AND TRADES WORKERS
"O361 Animal Attendants and Trainers, and Shearers",O361,"Animal Attendants and Trainers, and Shearers",O3 TECHNICIANS AND TRADES WORKERS
O362 Horticultural Trades Workers,O362,Horticultural Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O362 Horticultural Trades Workers,O362,Horticultural Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O362 Horticultural Trades Workers,O362,Horticultural Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O362 Horticultural Trades Workers,O362,Horticultural Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O391 Hairdressers,O391,Hairdressers,O3 TECHNICIANS AND TRADES WORKERS
O392 Printing Trades Workers,O392,Printing Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O392 Printing Trades Workers,O392,Printing Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O392 Printing Trades Workers,O392,Printing Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
"O393 Textile, Clothing and Footwear Trades Workers",O393,"Textile, Clothing and Footwear Trades Workers",O3 TECHNICIANS AND TRADES WORKERS
"O393 Textile, Clothing and Footwear Trades Workers",O393,"Textile, Clothing and Footwear Trades Workers",O3 TECHNICIANS AND TRADES WORKERS
"O393 Textile, Clothing and Footwear Trades Workers",O393,"Textile, Clothing and Footwear Trades Workers",O3 TECHNICIANS AND TRADES WORKERS
O394 Wood Trades Workers,O394,Wood Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O394 Wood Trades Workers,O394,Wood Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O399,Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O399,Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O399,Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O399,Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O399,Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O399,Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O399,Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O411 Health and Welfare Support Workers,O411,Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O411,Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O411,Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O411,Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O411,Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O411,Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O411 Health and Welfare Support Workers,O411,Health and Welfare Support Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O421 Child Carers,O421,Child Carers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O422 Education Aides,O422,Education Aides,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O423 Personal Carers and Assistants,O423,Personal Carers and Assistants,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O423 Personal Carers and Assistants,O423,Personal Carers and Assistants,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O423 Personal Carers and Assistants,O423,Personal Carers and Assistants,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O423 Personal Carers and Assistants,O423,Personal Carers and Assistants,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O431,Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O431,Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O431,Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O431,Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O431,Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O431 Hospitality Workers,O431,Hospitality Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
"O441 Defence Force Members, Fire Fighters and Police",O441,"Defence Force Members, Fire Fighters and Police",O4 COMMUNITY AND PERSONAL SERVICE WORKERS
"O441 Defence Force Members, Fire Fighters and Police",O441,"Defence Force Members, Fire Fighters and Police",O4 COMMUNITY AND PERSONAL SERVICE WORKERS
"O441 Defence Force Members, Fire Fighters and Police",O441,"Defence Force Members, Fire Fighters and Police",O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O442 Prison and Security Officers,O442,Prison and Security Officers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O442 Prison and Security Officers,O442,Prison and Security Officers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O451,Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O451,Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O451,Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O451,Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O451,Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O451,Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O451,Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O451 Personal Service and Travel Workers,O451,Personal Service and Travel Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O452 Sports and Fitness Workers,O452,Sports and Fitness Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O452 Sports and Fitness Workers,O452,Sports and Fitness Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O452 Sports and Fitness Workers,O452,Sports and Fitness Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
O452 Sports and Fitness Workers,O452,Sports and Fitness Workers,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
"O511 Contract, Program and Project Administrators",O511,"Contract, Program and Project Administrators",O5 CLERICAL AND ADMINISTRATIVE WORKERS
O512 Office and Practice Managers,O512,Office and Practice Managers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O512 Office and Practice Managers,O512,Office and Practice Managers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O521 Personal Assistants and Secretaries,O521,Personal Assistants and Secretaries,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O521 Personal Assistants and Secretaries,O521,Personal Assistants and Secretaries,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O531 General Clerks,O531,General Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O532 Keyboard Operators,O532,Keyboard Operators,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O541 Call or Contact Centre Information Clerks,O541,Call or Contact Centre Information Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O541 Call or Contact Centre Information Clerks,O541,Call or Contact Centre Information Clerks,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O542 Receptionists,O542,Receptionists,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O551 Accounting Clerks and Bookkeepers,O551,Accounting Clerks and Bookkeepers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O551 Accounting Clerks and Bookkeepers,O551,Accounting Clerks and Bookkeepers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
